Type of Incident,Year of Incident
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
ASSAULT (AGG) -DISCH FIREARM  OCC BLDG/HOUSE/VEH (AGG),2020
LOST PROPERTY (NO OFFENSE),2019
PUBLIC INTOXICATION,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
PUBLIC INTOXICATION,2020
NATURAL DEATH (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
POSS CONT SUB PEN GRP 2 > OR EQUAL 1G *DRUG FREE ZONE*,2022
FOUND PROPERTY (NO OFFENSE),2022
CRIMINAL TRESPASS WARNING,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
INJURED PERSON - AT HOME (OTHER THAN FIREARM) (NO OFFENSE),2022
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
POSS MARIJUANA >4OZ< OR EQUAL 5LBS,2020
DOG BITE - INJURED PERSON,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
VOIDED OFFENSE,2022
OPEN BUILDING (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
DWI,2021
FOUND PROPERTY (NO OFFENSE),2019
BMV,2023
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
BMV,2022
BMV,2022
DWI,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2015
POSSESSION OF DRUG PARAPHERNALIA,2022
BMV,2022
FOUND PROPERTY (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
BMV,2022
POSS MARIJUANA <2OZ,2022
ABANDONED PROPERTY (NO OFFENSE),2022
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),2019
FOUND PROPERTY (NO OFFENSE),2023
PUBLIC INTOXICATION,2023
LOST PROPERTY (NO OFFENSE),2023
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2016
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2019
OPEN BUILDING (NO OFFENSE),2022
ASSAULT (AGG) -DEADLY WEAPON,2022
POSS MARIJUANA <2OZ,2023
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2017
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),2022
CRIM MISCHIEF > OR EQUAL $100 < $750,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
CRIMINAL TRESPASS,2022
FOUND PROPERTY (NO OFFENSE),2022
ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,2022
FOUND PROPERTY (NO OFFENSE),2022
TRAF VIO -RECKLESS DRIVING,2020
FOUND PROPERTY (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
DWI,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2016
ASSAULT (AGG) -SERIOUS BODILY INJURY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
PUBLIC INTOXICATION,2021
ABANDONED PROPERTY (NO OFFENSE),2023
THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,2022
STALKING- PRELIMINARY INVESTIGATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
POSSESSION OF STOLEN PROPERTY,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
BMV,2022
ASSAULT -BODILY INJURY ONLY,2022
ROBBERY OF BUSINESS (AGG),2022
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
"THEFT OF PROP > OR EQUAL $750 <$2,500 ENH (SHOPLIFT-NOT EMP) PC31.03(f)",2023
ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,2022
BMV,2022
ASSAULT -BODILY INJURY ONLY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BURGLARY OF HABITATION - FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BMV,2022
POSS MARIJUANA >5LBS< OR EQUAL 50LBS,2023
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
HARASSMENT-REPEATED ELECTRONIC COMMUNICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2023
FOUND PROPERTY (NO OFFENSE),2014
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2022
BURGLARY OF HABITATION - FORCED ENTRY,2023
FOUND PROPERTY (NO OFFENSE),2021
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,2021
LOST PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
FOUND PROPERTY (NO OFFENSE),2016
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
DEADLY CONDUCT,2022
SEIZED PROPERTY (NO OFFENSE),2023
UNLAWFUL CARRYING WEAPON,2023
THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),2022
BURGLARY OF BUILDING - FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
FAIL TO ID -GIVING FALSE/FICTITIOUS INFO PC 38.02(c)(2),2023
PUBLIC INTOXICATION,2017
ROBBERY OF BUSINESS,2023
ASSAULT (AGG) -DEADLY WEAPON,2022
"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",2023
ASSAULT (AGG) -DEADLY WEAPON,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2014
ABANDONED PROPERTY (NO OFFENSE),2020
LOST PROPERTY (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
LOST PROPERTY (NO OFFENSE),2023
"CRIM MISCHIEF > OR EQUAL $1,500 BUT < $20K",2015
POSS MARIJUANA <2OZ,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
THEFT FROM BUILDING> OR EQUAL $2500<$30K (NOT SHOPLIFT),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
ASSAULT (AGG) -DEADLY WEAPON,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
HARASSMENT-REPEATED ELECTRONIC COMMUNICATION,2022
ASSAULT -BODILY INJURY ONLY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2023
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
CRIMINAL TRESPASS WARNING,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
VIO BOND/PROTECTIVE ORDER,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
POSSESSION OF DRUG PARAPHERNALIA,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ASSAULT -BODILY INJURY ONLY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
FOUND PROPERTY (NO OFFENSE),2020
THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),2022
DWI,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
ROBBERY OF INDIVIDUAL (AGG),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
CRIMINAL TRESPASS WARNING,2023
THEFT OF SERVICE > OR EQUAL $100 <$750 PC31.04(e2),2021
BMV,2023
BMV,2023
BMV,2023
TRAFFIC VIOLATION - HAZARDOUS,2022
POSSESSION OF DRUG PARAPHERNALIA,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
SEIZED PROPERTY (NO OFFENSE),2019
MAN DEL CONT SUB PEN GRP 1 <1G,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
ASSAULT (AGG) -DEADLY WEAPON,2022
ASSAULT (AGG) -DEADLY WEAPON,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
POSS OF DANGEROUS DRUG,2023
FOUND PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
EVADING ARREST DETENTION,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2023
LOST PROPERTY (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
ASSAULT (AGG) -DEADLY WEAPON,2022
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),2022
CRIMINAL TRESPASS WARNING,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
ROBBERY OF BUSINESS (AGG),2015
POSS MARIJUANA <2OZ,2022
ROBBERY OF BUSINESS (AGG),2021
THEFT BY DECEPTION (FRAUD) >OR EQUAL $750 <$2500,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
FOUND PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2020
UNAUTHORIZED USE OF MOTOR VEH - PRELIMINARY INVEST,2023
KEEPING A GAMBLING PLACE,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
THEFT OF PROP <$100 -SHOPLIFTING - (NOT BY EMPLOYEE),2023
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
POSSESSION OF STOLEN PROPERTY,2022
CRIMINAL TRESPASS WARNING,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ABANDONED PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
ABANDONED PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
POSS MARIJUANA <2OZ,2023
POSS MARIJUANA <2OZ,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
ASSAULT (AGG) -SERIOUS BODILY INJURY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
LOST PROPERTY (NO OFFENSE),2023
PUBLIC INTOXICATION,2020
CRIM MISCHIEF > OR EQUAL $100 < $750,2023
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2017
RECKLESS DAMAGE,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
BMV,2022
UNLAWFUL CARRYING WEAPON,2023
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
CRIMINAL TRESPASS WARNING,2022
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
POSS CONT SUB PEN GRP 2-A < OR EQUAL 2 OZ,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
RECKLESS DAMAGE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
POSS MARIJUANA <2OZ,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - PRELIMINARY INVEST,2022
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2022
CRIMINAL TRESPASS WARNING,2022
NATURAL DEATH (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
FOUND PROPERTY (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ROBBERY OF INDIVIDUAL (AGG),2022
PUBLIC INTOXICATION,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
POSS MARIJUANA <2OZ,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2017
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2017
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,2022
POSS CONT SUB PEN GRP 2-A < OR EQUAL 2 OZ,2019
CRIM MISCHIEF > OR EQUAL $100 < $750,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
SEIZED PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
ASSAULT -BODILY INJURY ONLY,2022
POSS MARIJUANA <2OZ,2022
CRIMINAL TRESPASS WARNING,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
POSS OF DANGEROUS DRUG,2022
THEFT - PRELIMINARY INVESTIGATION,2022
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),2022
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),2022
FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNLAWFUL CARRYING WEAPON,2022
ROBBERY OF INDIVIDUAL,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
LOST PROPERTY (NO OFFENSE),2019
PUBLIC INTOXICATION,2020
POSS CONT SUB PEN GRP 1 <1G *DRUG FREE ZONE*,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
EVADING ARREST DETENTION W/PREV CONVICTION PC38.04(b1),2022
CRIM MISCHIEF > OR EQUAL $100 < $750,2023
THEFT OF PROP <$100 -SHOPLIFTING - (NOT BY EMPLOYEE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
RECKLESS DAMAGE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
BURGLARY OF BUILDING - NO FORCED ENTRY,2023
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH < $200,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),2023
DWI,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
PUBLIC INTOXICATION,2020
POSS MARIJUANA <2OZ,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
LOST PROPERTY (NO OFFENSE),2022
PUBLIC INTOXICATION,2020
POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,2022
ROBBERY OF INDIVIDUAL (AGG),2019
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
CRIMINAL TRESPASS WARNING,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
LOST PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
PUBLIC INTOXICATION,2022
HARASSMENT -PRELIMINARY INVESTIGATION,2022
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
CRIMINAL TRESPASS WARNING,2023
CRIMINAL TRESPASS WARNING,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
CRIMINAL TRESPASS WARNING,2022
THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2015
